genres,artists,acousticness,danceability,duration_ms,energy,liveness,speechiness,valence,popularity
"['alternative metal', 'emo', 'pop punk', 'punk', 'screamo', 'skate punk']",AFI,1,39,187.25922,91,22,9,44,4222
"['k-pop', 'korean pop']",AILEE,26,61,232.333,87,13,5,23,5800
"['pop', 'post-teen pop', 'social media pop']",AJ Mitchell,38,60,189.4745,53,8,4,33,7238
"['opm', 'viral pop']",AJ Rafael,52,68,208.678,46,14,3,64,6160
"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",ALI,10,58,89.667,88,35,6,62,6400
"['pop soul', 'r&b']",ALO,36,82,218.973,41,13,4,67,5700
"['k-pop', 'k-pop girl group']",AOA,43,76,179.808,86,20,5,96,5600
"['big room', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'russian edm', 'trance', 'tropical house', 'uplifting trance']",ARTY,3,44,224.52,86,38,6,49,5700
"['anime', 'anime score', 'j-pop', 'j-poprock', 'j-rock', 'japanese emo', 'japanese pop punk', 'otacore']",ASIAN KUNG-FU GENERATION,0,42,244.089,92,14,7,49,5700
"['k-pop', 'k-pop boy group']",ATEEZ,5,57,199.013,96,37,12,52,6800
"['la pop', 'r&b']",AUGUST 08,36,41,280.842,68,17,9,17,7300
"['art pop', 'norwegian pop']",AURORA,72,43,211.047,28,14,5,27,6160
['vapor pop'],AViVA,4,55,228.904,66,13,4,59,6200
"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp pop']",AWOLNATION,26,63,216.051,69,30,5,43,5535
"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary']",Aaliyah,17,68,251.97146,60,22,10,64,4367
"['dance pop', 'post-teen pop']",Aaron Carter,3,87,198.9665,90,6,10,93,4600
"['c-pop', 'cantopop', 'classic cantopop', 'classic mandopop']",Aaron Kwok,36,65,256.189,58,18,4,49,4160
"['contemporary country', 'country pop']",Abby Anderson,17,62,163.96,82,14,3,61,6600
['classic arab pop'],Abdel Halim Hafez,86,39,658.75159,31,31,4,45,2145
"['dance pop', 'europop', 'new wave pop', 'pop rock', 'soft rock', 'urban contemporary']",Abdul,99,60,153.228,10,11,10,61,0
"['musica costarricense', 'pop romantico']",Abracadabra,34,62,223.467,37,16,3,29,5300
"['indie psych-pop', 'shimmer psych']",Absofacto,23,69,224.661,58,7,5,87,7200
"['christian alternative rock', 'dreamo', 'emo', 'neon pop punk', 'pop emo', 'pop punk', 'screamo']",Acceptance,7,42,178.9665,79,10,4,52,4600
"['dirty south rap', 'gangster rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Ace,59,72,204.227,41,9,3,70,6100
"['dirty south rap', 'gangster rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Ace Hood,7,68,270.8857,71,21,16,30,5440
"['bubblegum dance', 'dance pop', 'eurodance', 'europop', 'hip house', 'pop rock']",Ace of Base,3,72,222.9974,82,11,4,80,5500
